City,Date,Wkday,Outlook,TempH,TempL
平安,2017/1/28,5,多云,26,
平安,2017/1/29,6,多云,27,
平安,2017/1/30,0,多云,27,
奉节,2017/1/24,1,多云,,6
奉节,2017/1/25,2,多云,15,7
奉节,2017/1/26,3,多云转阴,14,9
奉节,2017/1/27,4,阴,14,6
奉节,2017/1/28,5,阴转小雨,10,6
奉节,2017/1/29,6,小雨转多云,6,4
奉节,2017/1/30,0,阴转中雨,9,3
炎陵,2017/1/24,1,多云,,6
炎陵,2017/1/25,2,晴,16,3
炎陵,2017/1/26,3,晴转多云,18,6
炎陵,2017/1/27,4,多云,17,6
炎陵,2017/1/28,5,多云,22,8
炎陵,2017/1/29,6,阵雨,18,5
炎陵,2017/1/30,0,阵雨转阴,9,2
安陆,2017/1/24,1,多云,,3
安陆,2017/1/25,2,晴,13,4
安陆,2017/1/26,3,晴,15,4
安陆,2017/1/27,4,晴转多云,12,2
安陆,2017/1/28,5,阴,14,2
安陆,2017/1/29,6,小雨,7,1
安陆,2017/1/30,0,多云转小雨,7,1
闽清,2017/1/24,1,多云,,8
闽清,2017/1/25,2,阴转多云,15,8
闽清,2017/1/26,3,晴,17,6
闽清,2017/1/27,4,晴转多云,20,9
闽清,2017/1/28,5,阴,21,16
闽清,2017/1/29,6,阴转小雨,23,14
闽清,2017/1/30,0,阵雨转小雨,15,11
新田,2017/1/24,1,多云,,8
新田,2017/1/25,2,多云,19,6
新田,2017/1/26,3,多云,19,8
新田,2017/1/27,4,多云,19,8
新田,2017/1/28,5,多云,21,12
新田,2017/1/29,6,阵雨转小雨,22,5
新田,2017/1/30,0,小雨,15,5
谷城,2017/1/24,1,晴,,0
谷城,2017/1/25,2,晴,11,3
谷城,2017/1/26,3,晴转多云,15,3
谷城,2017/1/27,4,多云,10,2
谷城,2017/1/28,5,小雨,12,3
谷城,2017/1/29,6,雨夹雪,3,0
谷城,2017/1/30,0,多云转雨夹雪,2,1
张家港,2017/1/24,1,多云,,2
张家港,2017/1/25,2,多云转晴,10,2
张家港,2017/1/26,3,多云,13,4
张家港,2017/1/27,4,多云,9,2
张家港,2017/1/28,5,多云,15,8
张家港,2017/1/29,6,小雨,10,1
张家港,2017/1/30,0,多云,6,1
彭水,2017/1/24,1,多云,,6
彭水,2017/1/25,2,多云,13,6
彭水,2017/1/26,3,阴转小雨,15,8
彭水,2017/1/27,4,阴,13,4
彭水,2017/1/28,5,阴,8,6
彭水,2017/1/29,6,阴转多云,10,2
彭水,2017/1/30,0,阴转雨夹雪,6,0
沙县,2017/1/24,1,多云,,7
沙县,2017/1/25,2,多云,17,6
沙县,2017/1/26,3,晴,18,5
沙县,2017/1/27,4,晴,19,7
沙县,2017/1/28,5,多云转阵雨,22,13
沙县,2017/1/29,6,阵雨转小雨,20,13
沙县,2017/1/30,0,小雨转阵雨,15,10
马山,2017/1/24,1,多云,,12
马山,2017/1/25,2,多云,22,11
马山,2017/1/26,3,多云,22,12
马山,2017/1/27,4,多云转晴,21,10
马山,2017/1/28,5,晴转多云,23,14
马山,2017/1/29,6,多云转阴,22,14
马山,2017/1/30,0,多云转阴,21,13
芷江,2017/1/24,1,阴,,5
芷江,2017/1/25,2,多云,15,5
芷江,2017/1/26,3,多云转阴,17,9
芷江,2017/1/27,4,阴转多云,13,6
芷江,2017/1/28,5,多云,17,9
芷江,2017/1/29,6,阴转小雨,14,2
芷江,2017/1/30,0,小雨,6,1
香河,2017/1/24,1,多云,,-10
香河,2017/1/25,2,多云转阴,5,-5
香河,2017/1/26,3,多云转晴,6,-7
香河,2017/1/27,4,晴,4,-7
香河,2017/1/28,5,阴转多云,4,-7
香河,2017/1/29,6,多云转晴,1,-9
香河,2017/1/30,0,晴,2,-9
都安,2017/1/24,1,多云,,12
都安,2017/1/25,2,多云,22,11
都安,2017/1/26,3,多云,23,12
都安,2017/1/27,4,多云,22,12
都安,2017/1/28,5,多云转小雨,21,14
都安,2017/1/29,6,小雨,20,14
都安,2017/1/30,0,小雨,20,15
克东,2017/1/24,1,晴,,-24
克东,2017/1/25,2,晴转多云,-8,-19
克东,2017/1/26,3,小雪转晴,-9,-20
克东,2017/1/27,4,多云转晴,-11,-23
克东,2017/1/28,5,小雪,-10,-23
克东,2017/1/29,6,多云转晴,-12,-24
克东,2017/1/30,0,晴,-15,-22
陆丰,2017/1/24,1,多云,,13
陆丰,2017/1/25,2,多云,21,9
陆丰,2017/1/26,3,多云转晴,21,12
陆丰,2017/1/27,4,晴转多云,22,14
陆丰,2017/1/28,5,多云转小雨,21,17
陆丰,2017/1/29,6,小雨,19,18
陆丰,2017/1/30,0,小雨,21,14
恩施,2017/1/24,1,多云,,3
恩施,2017/1/25,2,晴,14,4
恩施,2017/1/26,3,多云转小雨,13,6
恩施,2017/1/27,4,小雨,12,7
恩施,2017/1/28,5,小雨,10,6
恩施,2017/1/29,6,小雨,8,3
恩施,2017/1/30,0,小雨,7,5
准格尔旗,2017/1/24,1,晴,,-8
准格尔旗,2017/1/25,2,多云,6,-3
准格尔旗,2017/1/26,3,晴,1,-13
准格尔旗,2017/1/27,4,多云,0,-11
准格尔旗,2017/1/28,5,多云转阴,-2,-17
准格尔旗,2017/1/29,6,多云转晴,-9,-17
准格尔旗,2017/1/30,0,多云转阴,-3,-13
沂南,2017/1/24,1,晴,,-5
沂南,2017/1/25,2,多云,7,-3
沂南,2017/1/26,3,阴转多云,11,-4
沂南,2017/1/27,4,晴转多云,5,-5
沂南,2017/1/28,5,阴,6,2
沂南,2017/1/29,6,多云,6,-2
沂南,2017/1/30,0,晴转多云,6,-3
巴里坤,2017/1/24,1,多云,,-14
巴里坤,2017/1/25,2,多云转晴,-7,-24
巴里坤,2017/1/26,3,多云转晴,-6,-21
巴里坤,2017/1/27,4,多云,-5,-18
巴里坤,2017/1/28,5,多云转晴,-7,-22
巴里坤,2017/1/29,6,多云,-6,-20
巴里坤,2017/1/30,0,多云,-5,-21
阿拉善左旗,2017/1/24,1,晴,,0
阿拉善左旗,2017/1/25,2,晴,5,-8
阿拉善左旗,2017/1/26,3,晴,-2,-7
阿拉善左旗,2017/1/27,4,晴,5,-7
阿拉善左旗,2017/1/28,5,多云,-3,-8
阿拉善左旗,2017/1/29,6,多云转晴,-5,-10
阿拉善左旗,2017/1/30,0,多云转晴,-2,-8
贺兰,2017/1/24,1,晴,,-9
贺兰,2017/1/25,2,多云,9,-7
贺兰,2017/1/26,3,晴,1,-11
贺兰,2017/1/27,4,多云,2,-8
贺兰,2017/1/28,5,多云转阴,1,-9
贺兰,2017/1/29,6,多云转晴,-2,-12
贺兰,2017/1/30,0,多云,0,-11
新界,2017/1/24,1,多云,,16
新界,2017/1/25,2,多云,20,15
新界,2017/1/26,3,多云,20,16
新界,2017/1/27,4,多云,21,17
新界,2017/1/28,5,多云转小雨,20,18
新界,2017/1/29,6,小雨,21,18
新界,2017/1/30,0,小雨转多云,22,17
正兰旗,2017/1/24,1,晴,,-18
正兰旗,2017/1/25,2,晴转小雪,-3,-10
正兰旗,2017/1/26,3,多云转晴,-8,-20
正兰旗,2017/1/27,4,晴转多云,-7,-19
正兰旗,2017/1/28,5,多云转晴,-6,-19
正兰旗,2017/1/29,6,晴,-12,-21
正兰旗,2017/1/30,0,晴,-12,-21
赫章,2017/1/24,1,阴,,4
赫章,2017/1/25,2,多云,13,5
赫章,2017/1/26,3,多云转小雨,14,5
赫章,2017/1/27,4,阴,12,6
赫章,2017/1/28,5,多云转阴,18,4
赫章,2017/1/29,6,阴,11,5
赫章,2017/1/30,0,小雨,12,5
崇阳,2017/1/24,1,多云,,4
崇阳,2017/1/25,2,晴,13,4
崇阳,2017/1/26,3,晴,14,6
崇阳,2017/1/27,4,多云,18,5
崇阳,2017/1/28,5,阴转多云,17,4
崇阳,2017/1/29,6,小雨,10,2
崇阳,2017/1/30,0,多云转小雨,11,3
沽源,2017/1/24,1,晴,,-24
沽源,2017/1/25,2,晴转小雪,0,-14
沽源,2017/1/26,3,小雪转晴,-10,-25
沽源,2017/1/27,4,晴转多云,-6,-20
沽源,2017/1/28,5,多云,-9,-23
沽源,2017/1/29,6,多云转晴,-12,-22
沽源,2017/1/30,0,晴转多云,-8,-25
荣昌,2017/1/24,1,晴,,5
荣昌,2017/1/25,2,晴转多云,16,8
荣昌,2017/1/26,3,阴,13,9
荣昌,2017/1/27,4,阴,13,9
荣昌,2017/1/28,5,阴转小雨,12,9
荣昌,2017/1/29,6,阴,12,8
荣昌,2017/1/30,0,阴转小雨,12,6
连山,2017/1/24,1,多云,,8
连山,2017/1/25,2,多云转晴,18,7
连山,2017/1/26,3,晴转多云,18,7
连山,2017/1/27,4,多云,20,9
连山,2017/1/28,5,多云转阴,18,13
连山,2017/1/29,6,阴转多云,17,9
连山,2017/1/30,0,多云,15,7
安阳,2017/1/24,1,晴,,-3
安阳,2017/1/25,2,晴,9,1
安阳,2017/1/26,3,晴,13,1
安阳,2017/1/27,4,晴转阴,4,0
安阳,2017/1/28,5,阴转小雨,4,-1
安阳,2017/1/29,6,多云,2,-5
安阳,2017/1/30,0,多云,2,-5
沅江,2017/1/24,1,小雨,,6
沅江,2017/1/25,2,多云,13,4
沅江,2017/1/26,3,晴转多云,17,8
沅江,2017/1/27,4,多云,17,6
沅江,2017/1/28,5,多云,17,10
沅江,2017/1/29,6,小雨,13,5
沅江,2017/1/30,0,小雨,10,5
改则,2017/1/24,1,阴,,-18
改则,2017/1/25,2,多云,2,-17
改则,2017/1/26,3,多云转晴,4,-12
改则,2017/1/27,4,多云,-2,-17
改则,2017/1/28,5,晴,-2,-17
改则,2017/1/29,6,多云,1,-20
改则,2017/1/30,0,多云转晴,-1,-17
小渠子,2017/1/24,1,小雪,,-15
小渠子,2017/1/25,2,小雪转多云,-6,-17
小渠子,2017/1/26,3,晴转阴,-3,-14
小渠子,2017/1/27,4,阴,-4,-12
小渠子,2017/1/28,5,晴,0,-14
小渠子,2017/1/29,6,多云转晴,2,-11
小渠子,2017/1/30,0,晴转多云,-3,-13
桂阳,2017/1/24,1,多云,,8
桂阳,2017/1/25,2,多云转晴,16,6
桂阳,2017/1/26,3,晴,18,6
桂阳,2017/1/27,4,晴,19,7
桂阳,2017/1/28,5,晴转多云,20,10
桂阳,2017/1/29,6,多云转小雨,20,7
桂阳,2017/1/30,0,小雨,10,5
黑河,2017/1/24,1,晴,,-24
黑河,2017/1/25,2,晴转多云,-9,-21
黑河,2017/1/26,3,小雪转多云,-10,-21
黑河,2017/1/27,4,多云,-12,-27
黑河,2017/1/28,5,多云,-14,-23
黑河,2017/1/29,6,多云,-11,-24
黑河,2017/1/30,0,多云,-14,-24
德昌,2017/1/24,1,晴,,4
德昌,2017/1/25,2,晴,22,4
德昌,2017/1/26,3,晴,23,6
德昌,2017/1/27,4,晴,21,8
德昌,2017/1/28,5,晴,22,6
德昌,2017/1/29,6,晴,23,6
德昌,2017/1/30,0,晴,24,5
景谷,2017/1/24,1,多云,,10
景谷,2017/1/25,2,多云,24,11
景谷,2017/1/26,3,多云,25,11
景谷,2017/1/27,4,多云,25,10
景谷,2017/1/28,5,阴转晴,24,11
景谷,2017/1/29,6,晴,25,8
景谷,2017/1/30,0,晴,25,7
五常,2017/1/24,1,晴,,-24
五常,2017/1/25,2,晴,-9,-16
五常,2017/1/26,3,阵雪转多云,-3,-19
五常,2017/1/27,4,晴,-9,-17
五常,2017/1/28,5,中雪,-5,-18
五常,2017/1/29,6,晴,-7,-21
五常,2017/1/30,0,晴,-10,-21
乐陵,2017/1/24,1,多云,,-6
乐陵,2017/1/25,2,晴,8,-1
乐陵,2017/1/26,3,多云,10,-5
乐陵,2017/1/27,4,多云,4,0
乐陵,2017/1/28,5,雨夹雪转阴,0,-4
乐陵,2017/1/29,6,多云,-1,-6
乐陵,2017/1/30,0,多云,2,-5
永春,2017/1/24,1,多云,,8
永春,2017/1/25,2,多云转晴,18,7
永春,2017/1/26,3,晴,19,6
永春,2017/1/27,4,晴转多云,21,9
永春,2017/1/28,5,多云,22,17
永春,2017/1/29,6,小雨,24,14
永春,2017/1/30,0,小雨转多云,17,11
渑池,2017/1/24,1,多云,,-4
渑池,2017/1/25,2,晴,10,-2
渑池,2017/1/26,3,晴转多云,9,-2
渑池,2017/1/27,4,多云转阴,5,0
渑池,2017/1/28,5,小雪,4,-2
渑池,2017/1/29,6,小雪转阴,4,-4
渑池,2017/1/30,0,阴转小雪,4,-3
厦门,2017/1/24,1,晴,,10
厦门,2017/1/25,2,多云,19,10
厦门,2017/1/26,3,晴,18,9
厦门,2017/1/27,4,晴转多云,21,12
厦门,2017/1/28,5,多云,20,17
厦门,2017/1/29,6,多云转阵雨,22,15
厦门,2017/1/30,0,阴,18,12
铁力,2017/1/24,1,晴,,-27
铁力,2017/1/25,2,晴转多云,-5,-20
铁力,2017/1/26,3,中雪转小雪,-9,-25
铁力,2017/1/27,4,晴转多云,-12,-22
铁力,2017/1/28,5,小雪,-9,-24
铁力,2017/1/29,6,多云转晴,-14,-27
铁力,2017/1/30,0,晴,-15,-29
宿州,2017/1/24,1,多云,,-1
宿州,2017/1/25,2,多云,9,1
宿州,2017/1/26,3,多云,12,1
宿州,2017/1/27,4,多云,9,-1
宿州,2017/1/28,5,阴转小雨,8,4
宿州,2017/1/29,6,雨夹雪,0,-3
宿州,2017/1/30,0,多云,3,-1
安国,2017/1/24,1,晴,,-6
安国,2017/1/25,2,晴转多云,5,-1
安国,2017/1/26,3,多云转晴,7,-5
安国,2017/1/27,4,晴转多云,3,-2
安国,2017/1/28,5,多云,3,-4
安国,2017/1/29,6,晴,2,-5
安国,2017/1/30,0,晴,2,-6
那仁宝力格,2017/1/24,1,晴,,-23
那仁宝力格,2017/1/25,2,晴转多云,-6,-19
那仁宝力格,2017/1/26,3,多云转晴,-9,-23
那仁宝力格,2017/1/27,4,晴转多云,-9,-24
那仁宝力格,2017/1/28,5,多云转晴,-11,-26
那仁宝力格,2017/1/29,6,晴,-15,-24
那仁宝力格,2017/1/30,0,晴,-11,-25
永昌,2017/1/24,1,晴,,-10
永昌,2017/1/25,2,多云转晴,7,-12
永昌,2017/1/26,3,多云转晴,1,-11
永昌,2017/1/27,4,多云转晴,6,-11
永昌,2017/1/28,5,多云转晴,-1,-13
永昌,2017/1/29,6,多云转晴,0,-13
永昌,2017/1/30,0,多云转晴,1,-12
安图,2017/1/24,1,晴,,-19
安图,2017/1/25,2,晴,-5,-15
安图,2017/1/26,3,小雪,-1,-16
安图,2017/1/27,4,晴,-4,-16
安图,2017/1/28,5,多云转小雪,-3,-17
安图,2017/1/29,6,晴,-5,-20
安图,2017/1/30,0,晴,-9,-21
青川,2017/1/24,1,多云,,2
青川,2017/1/25,2,多云,10,3
青川,2017/1/26,3,多云,12,0
青川,2017/1/27,4,阴转小雨,10,2
青川,2017/1/28,5,小雨转阴,7,2
青川,2017/1/29,6,多云转阴,9,2
青川,2017/1/30,0,小雨,7,2
青州,2017/1/24,1,晴,,-4
青州,2017/1/25,2,多云,7,-1
青州,2017/1/26,3,阴转多云,10,-4
青州,2017/1/27,4,多云,5,-3
青州,2017/1/28,5,雨夹雪,0,-4
青州,2017/1/29,6,多云,0,-5
青州,2017/1/30,0,多云,3,-3
富裕,2017/1/24,1,晴,,-23
富裕,2017/1/25,2,晴转多云,-10,-16
富裕,2017/1/26,3,多云转晴,-8,-19
富裕,2017/1/27,4,多云,-9,-21
富裕,2017/1/28,5,小雪,-9,-21
富裕,2017/1/29,6,多云转晴,-8,-24
富裕,2017/1/30,0,晴,-11,-22
乌当,2017/1/24,1,阴,,6
乌当,2017/1/25,2,阴,12,7
乌当,2017/1/26,3,阴转小雨,15,7
乌当,2017/1/27,4,小雨,13,9
乌当,2017/1/28,5,多云,16,8
乌当,2017/1/29,6,小雨,13,4
乌当,2017/1/30,0,小雨,9,4
揭阳,2017/1/24,1,多云,,11
揭阳,2017/1/25,2,多云转晴,20,11
揭阳,2017/1/26,3,晴,22,10
揭阳,2017/1/27,4,晴,23,13
揭阳,2017/1/28,5,多云转阴,21,16
揭阳,2017/1/29,6,阵雨转阴,20,15
揭阳,2017/1/30,0,阴,21,12
宁都,2017/1/24,1,多云,,6
宁都,2017/1/25,2,多云,16,5
宁都,2017/1/26,3,晴,19,7
宁都,2017/1/27,4,晴,21,8
宁都,2017/1/28,5,多云转阴,23,12
宁都,2017/1/29,6,小雨,21,12
宁都,2017/1/30,0,小雨,18,9
加格达奇,2017/1/24,1,多云,,-28
加格达奇,2017/1/25,2,多云转小雪,-8,-20
加格达奇,2017/1/26,3,小雪转多云,-11,-24
加格达奇,2017/1/27,4,多云,-13,-30
加格达奇,2017/1/28,5,晴,-13,-27
加格达奇,2017/1/29,6,晴,-12,-27
加格达奇,2017/1/30,0,多云,-12,-27
武山,2017/1/24,1,晴,,-6
武山,2017/1/25,2,多云,8,-5
武山,2017/1/26,3,多云,6,-5
武山,2017/1/27,4,多云转阴,7,-2
武山,2017/1/28,5,阴转多云,6,-5
武山,2017/1/29,6,多云转阴,5,-3
武山,2017/1/30,0,阴,3,-5
西沙,2017/1/24,1,多云,,24
西沙,2017/1/25,2,多云,26,23
西沙,2017/1/26,3,多云,26,23
西沙,2017/1/27,4,多云,26,24
西沙,2017/1/28,5,多云,28,24
西沙,2017/1/29,6,多云,28,24
西沙,2017/1/30,0,多云,28,24
渭源,2017/1/24,1,晴,,-9
渭源,2017/1/25,2,晴转多云,10,-9
渭源,2017/1/26,3,晴,2,-10
渭源,2017/1/27,4,晴转多云,5,-4
渭源,2017/1/28,5,多云,1,-9
渭源,2017/1/29,6,晴转多云,3,-8
渭源,2017/1/30,0,多云,1,-9
绥德,2017/1/24,1,多云,,-6
绥德,2017/1/25,2,阴转多云,7,-5
绥德,2017/1/26,3,晴转多云,0,-8
绥德,2017/1/27,4,晴转阴,3,-3
绥德,2017/1/28,5,阴,3,-4
绥德,2017/1/29,6,阴转晴,-4,-10
绥德,2017/1/30,0,多云转阴,0,-9
常山,2017/1/24,1,阴,,3
常山,2017/1/25,2,阴转多云,10,1
常山,2017/1/26,3,晴,12,2
常山,2017/1/27,4,晴转多云,13,6
常山,2017/1/28,5,晴转多云,16,7
常山,2017/1/29,6,小雨,19,11
常山,2017/1/30,0,多云,14,6
宝兴,2017/1/24,1,多云,,2
宝兴,2017/1/25,2,多云转阴,12,4
宝兴,2017/1/26,3,阴,11,4
宝兴,2017/1/27,4,阴,9,6
宝兴,2017/1/28,5,小雨,11,5
宝兴,2017/1/29,6,小雨,12,4
宝兴,2017/1/30,0,小雨,11,4
保康,2017/1/24,1,晴,,1
保康,2017/1/25,2,晴,14,1
保康,2017/1/26,3,多云转阴,14,4
保康,2017/1/27,4,多云,9,2
保康,2017/1/28,5,小雨,11,3
保康,2017/1/29,6,雨夹雪,10,1
保康,2017/1/30,0,多云转雨夹雪,4,0
泽当,2017/1/24,1,晴,,-9
泽当,2017/1/25,2,晴,11,-10
泽当,2017/1/26,3,晴转多云,12,-5
泽当,2017/1/27,4,多云,12,-5
泽当,2017/1/28,5,多云转晴,9,-7
泽当,2017/1/29,6,晴,8,-5
泽当,2017/1/30,0,晴,10,-6
贵德,2017/1/24,1,晴,,-10
贵德,2017/1/25,2,晴,12,-9
贵德,2017/1/26,3,晴,8,-10
贵德,2017/1/27,4,晴,13,-3
贵德,2017/1/28,5,多云转阵雪,2,-5
贵德,2017/1/29,6,阵雪转阴,5,-7
贵德,2017/1/30,0,晴,6,-8
遂溪,2017/1/24,1,多云,,15
遂溪,2017/1/25,2,多云,23,13
遂溪,2017/1/26,3,多云,23,14
遂溪,2017/1/27,4,多云,24,14
遂溪,2017/1/28,5,多云,22,16
遂溪,2017/1/29,6,多云,25,16
遂溪,2017/1/30,0,多云,25,18
石门,2017/1/24,1,多云,,4
石门,2017/1/25,2,晴,14,3
石门,2017/1/26,3,晴转多云,18,8
石门,2017/1/27,4,多云,11,5
石门,2017/1/28,5,阴转小雨,15,4
石门,2017/1/29,6,阵雨转阴,11,2
石门,2017/1/30,0,阴转小雨,4,2
洛浦,2017/1/24,1,多云,,-7
洛浦,2017/1/25,2,多云,2,-6
洛浦,2017/1/26,3,多云,2,-8
洛浦,2017/1/27,4,多云转晴,3,-8
洛浦,2017/1/28,5,晴,4,-6
洛浦,2017/1/29,6,晴,3,-6
洛浦,2017/1/30,0,晴转多云,3,-7
彭泽,2017/1/24,1,阴,,5
彭泽,2017/1/25,2,晴,12,3
彭泽,2017/1/26,3,晴,14,5
彭泽,2017/1/27,4,晴转多云,12,3
彭泽,2017/1/28,5,多云,16,8
彭泽,2017/1/29,6,阵雨,12,3
彭泽,2017/1/30,0,阵雨,7,3
潮阳,2017/1/24,1,多云,,13
潮阳,2017/1/25,2,多云,19,12
潮阳,2017/1/26,3,晴,20,12
潮阳,2017/1/27,4,晴转多云,22,14
潮阳,2017/1/28,5,多云转阴,20,16
潮阳,2017/1/29,6,阴,21,15
潮阳,2017/1/30,0,阴,20,14
夏邑,2017/1/24,1,多云,,-3
夏邑,2017/1/25,2,晴转多云,9,1
夏邑,2017/1/26,3,晴转多云,12,-1
夏邑,2017/1/27,4,晴转多云,7,0
夏邑,2017/1/28,5,小雨转雨夹雪,5,2
夏邑,2017/1/29,6,小雪转多云,3,-4
夏邑,2017/1/30,0,晴转多云,3,-3
渝北,2017/1/24,1,多云,,5
渝北,2017/1/25,2,多云,14,9
渝北,2017/1/26,3,阴,12,8
渝北,2017/1/27,4,阴,12,8
渝北,2017/1/28,5,阴转小雨,11,8
渝北,2017/1/29,6,阴,11,7
渝北,2017/1/30,0,阴转小雨,11,5
开封,2017/1/24,1,晴,,-2
开封,2017/1/25,2,晴转多云,8,1
开封,2017/1/26,3,多云,12,-1
开封,2017/1/27,4,晴转多云,7,-1
开封,2017/1/28,5,小雨,5,0
开封,2017/1/29,6,小雪转多云,0,-3
开封,2017/1/30,0,多云转阴,3,-3
商南,2017/1/24,1,多云,,-2
商南,2017/1/25,2,多云,9,-1
商南,2017/1/26,3,晴,10,-2
商南,2017/1/27,4,阴,6,0
商南,2017/1/28,5,小雨,5,1
商南,2017/1/29,6,多云,7,-1
商南,2017/1/30,0,阴转雨夹雪,6,-1
横峰,2017/1/24,1,小雨,,4
横峰,2017/1/25,2,小雨转晴,10,3
横峰,2017/1/26,3,晴,16,4
横峰,2017/1/27,4,晴,17,6
横峰,2017/1/28,5,晴转阴,19,8
横峰,2017/1/29,6,小雨,20,7
横峰,2017/1/30,0,小雨转多云,12,5
浪卡子,2017/1/24,1,晴,,-14
浪卡子,2017/1/25,2,晴,4,-11
浪卡子,2017/1/26,3,晴转阴,7,-10
浪卡子,2017/1/27,4,阴转小雪,4,-10
浪卡子,2017/1/28,5,多云转晴,-1,-14
浪卡子,2017/1/29,6,晴,0,-12
浪卡子,2017/1/30,0,多云转晴,2,-8
古县,2017/1/24,1,多云,,-5
古县,2017/1/25,2,多云,9,-5
古县,2017/1/26,3,晴,6,-7
古县,2017/1/27,4,晴转多云,6,-5
古县,2017/1/28,5,多云,5,-3
古县,2017/1/29,6,多云,3,-5
古县,2017/1/30,0,多云转阴,3,-5
城固,2017/1/24,1,阴,,1
城固,2017/1/25,2,多云,10,3
城固,2017/1/26,3,晴,11,1
城固,2017/1/27,4,多云转小雨,8,3
城固,2017/1/28,5,小雨,7,1
城固,2017/1/29,6,小雨转多云,9,0
城固,2017/1/30,0,小雨,8,0
海安,2017/1/24,1,多云,,0
海安,2017/1/25,2,多云,9,1
海安,2017/1/26,3,多云,12,5
海安,2017/1/27,4,阴转多云,9,1
海安,2017/1/28,5,阴转多云,13,7
海安,2017/1/29,6,小雨,9,2
海安,2017/1/30,0,多云转阴,7,0
淮南,2017/1/24,1,多云,,0
淮南,2017/1/25,2,晴,10,3
淮南,2017/1/26,3,多云,12,2
淮南,2017/1/27,4,晴转多云,7,1
淮南,2017/1/28,5,阴转小雨,13,6
淮南,2017/1/29,6,小雨转雨夹雪,3,-1
淮南,2017/1/30,0,多云,4,-1
泽库,2017/1/24,1,晴,,-19
泽库,2017/1/25,2,晴,4,-16
泽库,2017/1/26,3,晴,6,-16
泽库,2017/1/27,4,多云转晴,7,-13
泽库,2017/1/28,5,小雪,1,-16
泽库,2017/1/29,6,多云,-2,-20
泽库,2017/1/30,0,多云转晴,2,-19
杞县,2017/1/24,1,晴,,-2
杞县,2017/1/25,2,晴转多云,8,1
杞县,2017/1/26,3,多云,13,-1
杞县,2017/1/27,4,晴转多云,6,0
杞县,2017/1/28,5,小雨,5,0
杞县,2017/1/29,6,小雪转多云,3,-3
杞县,2017/1/30,0,多云转阴,3,-3
兰西,2017/1/24,1,晴,,-25
兰西,2017/1/25,2,晴,-9,-16
兰西,2017/1/26,3,阵雪,-8,-21
兰西,2017/1/27,4,多云转晴,-10,-21
兰西,2017/1/28,5,阵雪,-10,-26
兰西,2017/1/29,6,多云转晴,-8,-22
兰西,2017/1/30,0,晴,-11,-22
梁山,2017/1/24,1,晴,,-3
梁山,2017/1/25,2,多云,9,0
梁山,2017/1/26,3,多云,13,-4
梁山,2017/1/27,4,晴转多云,9,0
梁山,2017/1/28,5,小雨转阴,4,-1
